City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
629,Kerman,IR,76.48,clear sky,30.2832,57.0788,هتل آپارتمان آسام
630,Puerto Lopez,CO,72.32,overcast clouds,4.0845,-72.956,Resguardo Indigena Maguare
631,Anupgarh,IN,87.31,clear sky,29.1911,73.2086,Kushal & Vishal DTH Kappa Internet Service
633,Howard Springs,AU,83.82,clear sky,-12.497,131.047,buffalo beach hostel
634,Hede,CN,79.2,clear sky,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
636,Myanaung,MM,79.75,overcast clouds,18.2833,95.3167,Taung Hlay Khar
639,Lapithos,CY,84.92,clear sky,35.3375,33.1792,Gillham Luxury Boutique & Vineyard
641,Mindelo,CV,76.55,scattered clouds,16.8901,-24.9804,Hotel Gaudi
642,Bayji,IQ,86.7,clear sky,34.9311,43.487,مروان /عدنان
643,Urucara,BR,74.53,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
645,Pangoa,PE,70.97,overcast clouds,-12.1167,-73.0,
647,Kahului,US,86.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
